id,year,inCitations,author_id,author_name
bce4ffe91f7abbeff9f66c3b91ee3a560ee72515,2015,0,3422566,Aicha Lafrid
bdfca10712855d76b0164309074612daac1c507c,2012,2,2965856,David Ellerman
bf2ca5ce7290c96fb24e19ba794dda6141d3708f,2016,0,2833486,Aliakbar Safilian
bf2ca5ce7290c96fb24e19ba794dda6141d3708f,2016,0,1746623,T. S. E. Maibaum
bf6f3796e3b3a12517cb42be42ffd27e3273bc76,2013,0,2597670,Laveen N. Kanal
bf6f3796e3b3a12517cb42be42ffd27e3273bc76,2013,0,3252397,John F. Lemmer
bf6f3796e3b3a12517cb42be42ffd27e3273bc76,2013,0,3101141,Tod S. Levitt
c0218e3c0df5019c213a87f48cd32958adb69c61,2011,0,2646237,Nilo Serpa
c0218e3c0df5019c213a87f48cd32958adb69c61,2011,0,1925176,Jose Roberto Steiner
c022a5730f3297b4b7ff69ae48c82d20a3627e52,2016,1,1719655,Matthew Klingensmith
c022a5730f3297b4b7ff69ae48c82d20a3627e52,2016,1,2556857,Michael C. Koval
c022a5730f3297b4b7ff69ae48c82d20a3627e52,2016,1,1752197,Siddhartha S. Srinivasa
c022a5730f3297b4b7ff69ae48c82d20a3627e52,2016,1,1735665,Nancy S. Pollard
c022a5730f3297b4b7ff69ae48c82d20a3627e52,2016,1,2659339,Michael Kaess
c0bb998b8a76255e9f28e78e3f5a4c27e5acd9d2,2013,3,2456038,Georg Böcherer
c0d2da67c2d016dd3691eacee33a1e0ca99034f0,2009,0,2591285,Chengqing Li
c0d2da67c2d016dd3691eacee33a1e0ca99034f0,2009,0,1732343,Shujun Li
c0d2da67c2d016dd3691eacee33a1e0ca99034f0,2009,0,1733291,Kwok-Tung Lo
c19dc5a5e59c91be802124f1b41d420f672466ba,1995,17,1909300,Lucy Vanderwende
c46e6a7d7735aa14edd5697d0a661bc81002ca94,2006,0,5310654,Xiaowen Zhang
c46e6a7d7735aa14edd5697d0a661bc81002ca94,2006,0,1741535,Li Shu
c46e6a7d7735aa14edd5697d0a661bc81002ca94,2006,0,1698038,Ke Tang
c7d7bbebd693e5ea9ff3eb6856a88dcc25e81864,2011,0,2262289,Paraskevas V. Lekeas
c7d7bbebd693e5ea9ff3eb6856a88dcc25e81864,2011,0,1841672,Giorgos Stamatopoulos
c8051bddf17a57afa11a79e1f64102bb5ab492ad,2005,0,2296124,Yuriy A. Chashkov
c89810109f1f57d206e66ff30faf4897b8d0299e,1999,14,1726368,Antonio Campillo
c89810109f1f57d206e66ff30faf4897b8d0299e,1999,14,1740813,José Ignacio Farrán
c9d7219d54eccb9e49b72044d805e103fe17ba80,2016,0,1723066,Philip Bachman
c9d7219d54eccb9e49b72044d805e103fe17ba80,2016,0,2041695,Alessandro Sordoni
c9d7219d54eccb9e49b72044d805e103fe17ba80,2016,0,3382568,Adam Trischler
ca97740918394bd01fb28d7226f524cf5b4f37b7,2016,0,3452006,Harits Ar Rosyid
ca97740918394bd01fb28d7226f524cf5b4f37b7,2016,0,3452005,Matt Palmerlee
ca97740918394bd01fb28d7226f524cf5b4f37b7,2016,0,1769345,Ke Chen
cc69df198651b0d28055a28615585dc73eff649b,2016,0,3882753,Aaron Steven White
cc69df198651b0d28055a28615585dc73eff649b,2016,0,1971041,Drew Reisinger
cc69df198651b0d28055a28615585dc73eff649b,2016,0,2034613,Rachel Rudinger
cc69df198651b0d28055a28615585dc73eff649b,2016,0,1740418,Kyle Rawlins
cc69df198651b0d28055a28615585dc73eff649b,2016,0,7536576,Benjamin Van Durme
cce76daf5b91002dd245be9680e556162a08c4af,2014,3,1943157,Andrew T. Karl
cce76daf5b91002dd245be9680e556162a08c4af,2014,3,1859519,Randy Eubank
cce76daf5b91002dd245be9680e556162a08c4af,2014,3,3074775,Jelena Milovanovic
cce76daf5b91002dd245be9680e556162a08c4af,2014,3,2796083,Mark Reiser
cce76daf5b91002dd245be9680e556162a08c4af,2014,3,5479131,Dennis Young
cceb9d2fb144ef1bb56409b9d92fbdd44e566c4e,2015,2,2000698,Evangelos Vrettos
cceb9d2fb144ef1bb56409b9d92fbdd44e566c4e,2015,2,1697892,Frauke Oldewurtel
cceb9d2fb144ef1bb56409b9d92fbdd44e566c4e,2015,2,2282640,Göran Andersson
cd4d8779af49bd48a5bc27fa5b9bebb9b36928ef,2013,2,2412300,Anani Lotsi
